LocationType,Location,TimeFrame,DataFormat,Data
County,Calaveras,2015,Rate,14.6
County,Colusa,2000,Rate,12.9
County,Colusa,2001,Rate,13.9
County,Colusa,2002,Rate,11.9
County,Colusa,2003,Rate,13.3
County,Colusa,2004,Rate,15.1
County,Colusa,2005,Rate,15.7
County,Colusa,2006,Rate,17.3
County,Colusa,2007,Rate,12.1
County,Colusa,2008,Rate,7.1
County,Colusa,2013,Rate,11.7
County,Colusa,2009,Rate,5.3
County,Colusa,2010,Rate,9.2
County,Colusa,2011,Rate,4.9
County,Colusa,2012,Rate,9.4
County,Colusa,2014,Rate,6.3
County,Colusa,2015,Rate,9.1
County,Contra Costa,2014,Rate,5.2
County,Contra Costa,2012,Rate,5.5
County,Contra Costa,2011,Rate,5.5
County,Contra Costa,2010,Rate,4.7
County,Contra Costa,2009,Rate,5.1
County,Contra Costa,2013,Rate,5.3
County,Contra Costa,2008,Rate,6.7
County,Contra Costa,2007,Rate,8.7
County,Contra Costa,2006,Rate,8.7
County,Contra Costa,2005,Rate,7.9
County,Contra Costa,2004,Rate,8.2
County,Contra Costa,2003,Rate,7.8
County,Contra Costa,2002,Rate,8.7
County,Contra Costa,2001,Rate,9.6
County,Contra Costa,2000,Rate,8.4
County,Contra Costa,2015,Rate,4.5
County,Del Norte,2000,Rate,38.8
County,Del Norte,2001,Rate,45.1
County,Del Norte,2002,Rate,40.2
County,Del Norte,2003,Rate,38.2
County,Del Norte,2004,Rate,43.6
County,Del Norte,2005,Rate,42.4
County,Del Norte,2006,Rate,42
County,Del Norte,2007,Rate,39.7
County,Del Norte,2008,Rate,39.5
County,Del Norte,2013,Rate,18.1
County,Del Norte,2009,Rate,49.3
County,Del Norte,2010,Rate,43.4
County,Del Norte,2011,Rate,27.5
County,Del Norte,2012,Rate,26.6
County,Del Norte,2014,Rate,21.7
County,Del Norte,2015,Rate,22.8
County,El Dorado,2014,Rate,11
County,El Dorado,2012,Rate,11.1
County,El Dorado,2011,Rate,12.7
County,El Dorado,2010,Rate,11.4
County,El Dorado,2009,Rate,13.2
County,El Dorado,2013,Rate,9.8
County,El Dorado,2008,Rate,16
County,El Dorado,2007,Rate,13.8
County,El Dorado,2006,Rate,11.1
County,El Dorado,2005,Rate,12
County,El Dorado,2004,Rate,10.6
County,El Dorado,2003,Rate,9.9
County,El Dorado,2002,Rate,7.8
County,El Dorado,2001,Rate,9.2
County,El Dorado,2000,Rate,5.9
County,El Dorado,2015,Rate,7.3
County,Fresno,2000,Rate,11.4
County,Fresno,2001,Rate,12
County,Fresno,2002,Rate,13.1
County,Fresno,2003,Rate,14.2
County,Fresno,2004,Rate,11.8
County,Fresno,2005,Rate,11.6
County,Fresno,2006,Rate,9
County,Fresno,2007,Rate,9.5
County,Fresno,2008,Rate,7.6
County,Fresno,2013,Rate,8.8
County,Fresno,2009,Rate,8.6
County,Fresno,2010,Rate,8.2
County,Fresno,2011,Rate,8.4
County,Fresno,2012,Rate,8.4
County,Fresno,2014,Rate,9.1
County,Fresno,2015,Rate,8.6
County,Glenn,2014,Rate,12.4
County,Glenn,2012,Rate,17
County,Glenn,2011,Rate,15.4
County,Glenn,2010,Rate,16.2
County,Glenn,2009,Rate,23.1
County,Glenn,2013,Rate,14.4
County,Glenn,2008,Rate,24.8
County,Glenn,2007,Rate,23.8
County,Glenn,2006,Rate,24.5
County,Glenn,2005,Rate,23.1
County,Glenn,2004,Rate,24
County,Glenn,2003,Rate,28.6
County,Glenn,2002,Rate,22
County,Glenn,2001,Rate,27.9
County,Glenn,2000,Rate,28.2
County,Glenn,2015,Rate,9.9
County,Humboldt,2000,Rate,14
County,Humboldt,2001,Rate,12.2
County,Humboldt,2002,Rate,12.5
County,Humboldt,2003,Rate,13.4
County,Humboldt,2004,Rate,12
County,Humboldt,2005,Rate,15.1
County,Humboldt,2006,Rate,16.6
County,Humboldt,2007,Rate,12.9
County,Humboldt,2008,Rate,11.7
County,Humboldt,2013,Rate,8.7
County,Humboldt,2009,Rate,9.1
County,Humboldt,2010,Rate,7
County,Humboldt,2011,Rate,9.4
County,Humboldt,2012,Rate,8
County,Humboldt,2014,Rate,10.8
County,Humboldt,2015,Rate,10.6
County,Imperial,2014,Rate,10.6
County,Imperial,2012,Rate,10.3
County,Imperial,2011,Rate,8.4
County,Imperial,2010,Rate,9.3
County,Imperial,2009,Rate,9.7
County,Imperial,2013,Rate,9
County,Imperial,2008,Rate,11.9
County,Imperial,2007,Rate,14
County,Imperial,2006,Rate,16.2
County,Imperial,2005,Rate,12.5
County,Imperial,2004,Rate,13.6
County,Imperial,2003,Rate,13.9
County,Imperial,2002,Rate,17.1
County,Imperial,2001,Rate,19.8
County,Imperial,2000,Rate,20
County,Imperial,2015,Rate,8.9
County,Inyo,2000,Rate,10.5
County,Inyo,2001,Rate,12.3
County,Inyo,2002,Rate,13.3
County,Inyo,2003,Rate,12.8
County,Inyo,2004,Rate,8.5
County,Inyo,2005,Rate,20.3
County,Inyo,2006,Rate,25.4
County,Inyo,2007,Rate,13.9
County,Inyo,2008,Rate,10.7
County,Inyo,2013,Rate,8.3
County,Inyo,2009,Rate,15.7
County,Inyo,2010,Rate,6.9
County,Inyo,2011,Rate,12.1
County,Inyo,2012,Rate,14.1
County,Inyo,2014,Rate,10.1
County,Inyo,2015,Rate,3.2
County,Kern,2014,Rate,14.8
County,Kern,2012,Rate,17.1
County,Kern,2011,Rate,18.1
County,Kern,2010,Rate,18.6
County,Kern,2009,Rate,20.5
County,Kern,2013,Rate,16
County,Kern,2008,Rate,22
County,Kern,2007,Rate,20.6
County,Kern,2006,Rate,19.3
County,Kern,2005,Rate,19.3
County,Kern,2004,Rate,17.7
County,Kern,2003,Rate,22.1
County,Kern,2002,Rate,24
County,Kern,2001,Rate,24.7
County,Kern,2000,Rate,22.3
County,Kern,2015,Rate,14.4
County,Kings,2000,Rate,20.4
County,Kings,2001,Rate,18.9
County,Kings,2002,Rate,22.1
County,Kings,2003,Rate,15.9
County,Kings,2004,Rate,13.4
County,Kings,2005,Rate,11.2
County,Kings,2006,Rate,10.4
County,Kings,2007,Rate,9.6
County,Kings,2008,Rate,7.5
County,Kings,2013,Rate,8
