LocationType,Location,TimeFrame,DataFormat,Data
County,Fresno,2007,Rate,8.7
County,Fresno,2008,Rate,9
County,Fresno,2009,Rate,8.7
County,Fresno,2010,Rate,8.3
County,Fresno,2011,Rate,7.1
County,Fresno,2012,Rate,6.2
County,Fresno,2013,Rate,6.1
County,Fresno,2014,Rate,6.9
County,Glenn,2000,Rate,7.6
County,Glenn,2001,Rate,6.5
County,Glenn,2002,Rate,6.7
County,Glenn,2003,Rate,9.7
County,Glenn,2004,Rate,10.9
County,Glenn,2005,Rate,10.4
County,Glenn,2006,Rate,10.4
County,Glenn,2007,Rate,11.5
County,Glenn,2008,Rate,10.1
County,Glenn,2009,Rate,9.6
County,Glenn,2010,Rate,11.8
County,Glenn,2011,Rate,8.9
County,Glenn,2012,Rate,8.8
County,Glenn,2013,Rate,8.1
County,Glenn,2014,Rate,11.3
County,Humboldt,2000,Rate,9
County,Humboldt,2001,Rate,9.4
County,Humboldt,2002,Rate,8.5
County,Humboldt,2003,Rate,8.5
County,Humboldt,2004,Rate,7.6
County,Humboldt,2005,Rate,8.4
County,Humboldt,2006,Rate,10.5
County,Humboldt,2007,Rate,9.4
County,Humboldt,2008,Rate,9.1
County,Humboldt,2009,Rate,8.3
County,Humboldt,2010,Rate,7.5
County,Humboldt,2011,Rate,10.7
County,Humboldt,2012,Rate,9.5
County,Humboldt,2013,Rate,10.4
County,Humboldt,2014,Rate,10.9
County,Imperial,2000,Rate,7.5
County,Imperial,2001,Rate,9.7
County,Imperial,2002,Rate,8.4
County,Imperial,2003,Rate,7.9
County,Imperial,2004,Rate,6.9
County,Imperial,2005,Rate,6.2
County,Imperial,2006,Rate,6.5
County,Imperial,2007,Rate,8
County,Imperial,2008,Rate,8.1
County,Imperial,2009,Rate,6.6
County,Imperial,2010,Rate,4.7
County,Imperial,2011,Rate,4.1
County,Imperial,2012,Rate,4.8
County,Imperial,2013,Rate,5.6
County,Imperial,2014,Rate,6.7
County,Inyo,2000,Rate,4.4
County,Inyo,2001,Rate,5.4
County,Inyo,2002,Rate,8
County,Inyo,2003,Rate,4.4
County,Inyo,2004,Rate,3
County,Inyo,2005,Rate,2.3
County,Inyo,2006,Rate,3.6
