LocationType,Location,TimeFrame,DataFormat,Data
County,San Joaquin,2010,Currency,60905
County,San Joaquin,2011,Currency,57208
County,San Joaquin,2012,Currency,55381
County,San Joaquin,2013,Currency,53572
County,San Joaquin,2014,Currency,51983
County,San Luis Obispo,2009,Currency,75996
County,San Luis Obispo,2010,Currency,76659
County,San Luis Obispo,2011,Currency,77127
County,San Luis Obispo,2012,Currency,71380
County,San Luis Obispo,2013,Currency,68351
County,San Luis Obispo,2014,Currency,67253
County,San Mateo,2009,Currency,110478
County,San Mateo,2010,Currency,115447
County,San Mateo,2011,Currency,115590
County,San Mateo,2012,Currency,114713
County,San Mateo,2013,Currency,115764
County,San Mateo,2014,Currency,115812
County,Santa Barbara,2009,Currency,68563
County,Santa Barbara,2010,Currency,66934
County,Santa Barbara,2011,Currency,66936
County,Santa Barbara,2012,Currency,65026
County,Santa Barbara,2013,Currency,63990
County,Santa Barbara,2014,Currency,63404
County,Santa Clara,2009,Currency,110719
County,Santa Clara,2010,Currency,112476
County,Santa Clara,2011,Currency,113504
County,Santa Clara,2012,Currency,113029
County,Santa Clara,2013,Currency,111440
County,Santa Clara,2014,Currency,113780
County,Shasta,2009,Currency,54293
County,Shasta,2010,Currency,54093
County,Shasta,2011,Currency,51367
County,Shasta,2012,Currency,50058
County,Shasta,2013,Currency,49928
County,Shasta,2014,Currency,48965
County,Siskiyou,2009,Currency,47108
County,Siskiyou,2010,Currency,45925
County,Siskiyou,2011,Currency,43598
County,Siskiyou,2012,Currency,41327
County,Siskiyou,2013,Currency,42175
County,Siskiyou,2014,Currency,36250
County,Solano,2009,Currency,77373
County,Solano,2010,Currency,76643
County,Solano,2011,Currency,75935
County,Solano,2012,Currency,72672
County,Solano,2013,Currency,68506
County,Solano,2014,Currency,67397
County,Sonoma,2009,Currency,78727
County,Sonoma,2010,Currency,76823
County,Sonoma,2011,Currency,75035
County,Sonoma,2012,Currency,72217
County,Sonoma,2013,Currency,69828
County,Sonoma,2014,Currency,68372
County,Stanislaus,2009,Currency,58079
County,Stanislaus,2010,Currency,56217
County,Stanislaus,2011,Currency,53750
County,Stanislaus,2012,Currency,51849
County,Stanislaus,2013,Currency,49775
County,Stanislaus,2014,Currency,48257
