LocationType,Location,Age group,TimeFrame,DataFormat,Data
County,Colusa,15-18,2013,Percent,0.5
County,Colusa,19-20,2013,Percent,0.44
County,Colusa,0-20,2013,Percent,0.56
County,Colusa,0-3,2014,Percent,0.34873
County,Colusa,4-5,2014,Percent,0.70156
County,Colusa,6-8,2014,Percent,0.7212
County,Colusa,9-11,2014,Percent,0.65672
County,Colusa,12-14,2014,Percent,0.56063
County,Colusa,15-18,2014,Percent,0.52699
County,Colusa,19-20,2014,Percent,0.35371
County,Colusa,0-20,2014,Percent,0.56977
County,Colusa,0-3,2015,Percent,0.38928
County,Colusa,4-5,2015,Percent,0.71267
County,Colusa,6-8,2015,Percent,0.73265
County,Colusa,9-11,2015,Percent,0.7038
County,Colusa,12-14,2015,Percent,0.5781
County,Colusa,15-18,2015,Percent,0.48542
County,Colusa,19-20,2015,Percent,0.33562
County,Colusa,0-20,2015,Percent,0.57761
County,Contra Costa,0-3,2013,Percent,0.26
County,Contra Costa,4-5,2013,Percent,0.59
County,Contra Costa,6-8,2013,Percent,0.62
County,Contra Costa,9-11,2013,Percent,0.57
County,Contra Costa,12-14,2013,Percent,0.51
County,Contra Costa,15-18,2013,Percent,0.45
County,Contra Costa,19-20,2013,Percent,0.31
County,Contra Costa,0-20,2013,Percent,0.48
County,Contra Costa,0-3,2014,Percent,0.23314
County,Contra Costa,4-5,2014,Percent,0.52881
County,Contra Costa,6-8,2014,Percent,0.57183
County,Contra Costa,9-11,2014,Percent,0.54205
County,Contra Costa,12-14,2014,Percent,0.48949
County,Contra Costa,15-18,2014,Percent,0.42405
County,Contra Costa,19-20,2014,Percent,0.28848
County,Contra Costa,0-20,2014,Percent,0.44841
County,Contra Costa,0-3,2015,Percent,0.24264
County,Contra Costa,4-5,2015,Percent,0.51423
County,Contra Costa,6-8,2015,Percent,0.54141
County,Contra Costa,9-11,2015,Percent,0.51395
County,Contra Costa,12-14,2015,Percent,0.45837
County,Contra Costa,15-18,2015,Percent,0.39153
County,Contra Costa,19-20,2015,Percent,0.26142
County,Contra Costa,0-20,2015,Percent,0.42485
County,Del Norte,0-3,2013,Percent,0.3
County,Del Norte,4-5,2013,Percent,0.59
County,Del Norte,6-8,2013,Percent,0.59
County,Del Norte,9-11,2013,Percent,0.61
County,Del Norte,12-14,2013,Percent,0.46
County,Del Norte,15-18,2013,Percent,0.46
County,Del Norte,19-20,2013,Percent,0.32
County,Del Norte,0-20,2013,Percent,0.48
County,Del Norte,0-3,2014,Percent,0.28571
County,Del Norte,4-5,2014,Percent,0.59338
County,Del Norte,6-8,2014,Percent,0.59558
County,Del Norte,9-11,2014,Percent,0.56929
County,Del Norte,12-14,2014,Percent,0.47665
County,Del Norte,15-18,2014,Percent,0.46429
County,Del Norte,19-20,2014,Percent,0.29832
County,Del Norte,0-20,2014,Percent,0.47603
County,Del Norte,0-3,2015,Percent,0.29387
County,Del Norte,4-5,2015,Percent,0.58824
County,Del Norte,6-8,2015,Percent,0.65016
County,Del Norte,9-11,2015,Percent,0.63711
County,Del Norte,12-14,2015,Percent,0.52941
County,Del Norte,15-18,2015,Percent,0.45238
County,Del Norte,19-20,2015,Percent,0.27517
County,Del Norte,0-20,2015,Percent,0.49568
County,El Dorado,0-3,2013,Percent,0.28
County,El Dorado,4-5,2013,Percent,0.61
County,El Dorado,6-8,2013,Percent,0.55
County,El Dorado,9-11,2013,Percent,0.51
County,El Dorado,12-14,2013,Percent,0.47
County,El Dorado,15-18,2013,Percent,0.43
County,El Dorado,19-20,2013,Percent,0.29
County,El Dorado,0-20,2013,Percent,0.46
County,El Dorado,0-3,2014,Percent,0.26345
County,El Dorado,4-5,2014,Percent,0.55124
County,El Dorado,6-8,2014,Percent,0.55441
County,El Dorado,9-11,2014,Percent,0.52054
County,El Dorado,12-14,2014,Percent,0.45641
County,El Dorado,15-18,2014,Percent,0.42445
County,El Dorado,19-20,2014,Percent,0.26917
County,El Dorado,0-20,2014,Percent,0.4462
